"id","city","state","city_code"
1,"New York City","NY","New_York_City"
2,"Los Angeles","CA","Los_Angeles"
3,"Chicago","IL","Chicago"
4,"Houston","TX","Houston"
5,"Phoenix","AZ","Phoenix"
6,"Philadelphia","PA","Philadelphia"
7,"San Antonio","TX","San_Antonio"
8,"San Diego","CA","San_Diego"
9,"Dallas","TX","Dallas"
10,"Austin","TX","Austin"
11,"San Jose","CA","San_Jose"
12,"Fort Worth","TX","Fort_Worth"
13,"Jacksonville","FL","Jacksonville"
14,"Columbus","OH","Columbus"
15,"Charlotte","NC","Charlotte"
16,"Indianapolis","IN","Indianapolis"
17,"San Francisco","CA","San_Francisco"
18,"Seattle","WA","Seattle"
19,"Denver","CO","Denver"
20,"Washington","DC","Washington"
21,"Boston","MA","Boston"
22,"El Paso","TX","El_Paso"
23,"Nashville","TN","Nashville"
24,"Oklahoma City","OK","Oklahoma_City"
25,"Las Vegas","NV","Las_Vegas"
26,"Detroit","MI","Detroit"
27,"Portland","OR","Portland"
28,"Memphis","TN","Memphis"
29,"Louisville","KY","Louisville"
30,"Milwaukee","WI","Milwaukee"
31,"Baltimore","MD","Baltimore"
32,"Albuquerque","NM","Albuquerque"
33,"Tucson","AZ","Tucson"
34,"Mesa","AZ","Mesa"
35,"Fresno","CA","Fresno"
36,"Sacramento","CA","Sacramento"
37,"Atlanta","GA","Atlanta"
38,"Kansas City","MO","Kansas_City"
39,"Colorado Springs","CO","Colorado_Springs"
40,"Raleigh","NC","Raleigh"
41,"Omaha","NE","Omaha"
42,"Miami","FL","Miami"
43,"Long Beach","CA","Long_Beach"
44,"Virginia Beach","VA","Virginia_Beach"
45,"Oakland","CA","Oakland"
46,"Minneapolis","MN","Minneapolis"
47,"Tampa","FL","Tampa"
48,"Tulsa","OK","Tulsa"
49,"Arlington","TX","Arlington"
50,"Wichita","KS","Wichita"
51,"Bakersfield","CA","Bakersfield"
52,"Aurora","CO","Aurora"
53,"New Orleans","LA","New_Orleans"
54,"Cleveland","OH","Cleveland"
55,"Anaheim","CA","Anaheim"
56,"Henderson","NV","Henderson"
57,"Honolulu","HI","Honolulu"
58,"Riverside","CA","Riverside"
59,"Santa Ana","CA","Santa_Ana"
60,"Corpus Christi","TX","Corpus_Christi"
61,"Lexington","KY","Lexington"
62,"San Juan","PR","San_Juan"
63,"Stockton","CA","Stockton"
64,"St. Paul","MN","St_Paul"
65,"Cincinnati","OH","Cincinnati"
66,"Greensboro","NC","Greensboro"
67,"Pittsburgh","PA","Pittsburgh"
68,"Irvine","CA","Irvine"
69,"St. Louis","MO","St_Louis"
70,"Lincoln","NE","Lincoln"
71,"Orlando","FL","Orlando"
72,"Durham","NC","Durham"
73,"Plano","TX","Plano"
74,"Anchorage","AK","Anchorage"
75,"Newark","NJ","Newark"
76,"Chula Vista","CA","Chula_Vista"
77,"Fort Wayne","IN","Fort_Wayne"
78,"Chandler","AZ","Chandler"
79,"Toledo","OH","Toledo"
80,"St. Petersburg","FL","St_Petersburg"
81,"Reno","NV","Reno"
82,"Laredo","TX","Laredo"
83,"Scottsdale","AZ","Scottsdale"
84,"North Las Vegas","NV","North_Las_Vegas"
85,"Lubbock","TX","Lubbock"
86,"Madison","WI","Madison"
87,"Gilbert","AZ","Gilbert"
88,"Jersey City","NJ","Jersey_City"
89,"Glendale","AZ","Glendale"
90,"Buffalo","NY","Buffalo"
91,"Winston-Salem","NC","WinstonSalem"
92,"Chesapeake","VA","Chesapeake"
93,"Fremont","CA","Fremont"
94,"Norfolk","VA","Norfolk"
95,"Irving","TX","Irving"
96,"Garland","TX","Garland"
97,"Paradise","NV","Paradise"
98,"Arlington","VA","Arlington"
99,"Richmond","VA","Richmond"
100,"Hialeah","FL","Hialeah"
